conc,rate,state,source
0.02,76,treated,R datasets::Puromycin
0.02,47,treated,R datasets::Puromycin
0.06,97,treated,R datasets::Puromycin
0.06,107,treated,R datasets::Puromycin
0.11,123,treated,R datasets::Puromycin
0.11,139,treated,R datasets::Puromycin
0.22,159,treated,R datasets::Puromycin
0.22,152,treated,R datasets::Puromycin
0.56,191,treated,R datasets::Puromycin
0.56,201,treated,R datasets::Puromycin
1.10,207,treated,R datasets::Puromycin
1.10,200,treated,R datasets::Puromycin
0.02,67,untreated,R datasets::Puromycin
0.02,51,untreated,R datasets::Puromycin
0.06,84,untreated,R datasets::Puromycin
0.06,86,untreated,R datasets::Puromycin
0.11,98,untreated,R datasets::Puromycin
0.11,115,untreated,R datasets::Puromycin
0.22,131,untreated,R datasets::Puromycin
0.22,124,untreated,R datasets::Puromycin
0.56,144,untreated,R datasets::Puromycin
0.56,158,untreated,R datasets::Puromycin
1.10,160,untreated,R datasets::Puromycin
