noise_level,method,n_total,n_valid,n_invalid,invalid_fraction,median_vmax_relative_error,median_km_relative_error,mean_vmax_relative_error,mean_km_relative_error,max_vmax_relative_error,max_km_relative_error,median_r2,credible
0.0,nonlinear,50,50,0,0.0,6.679101716144941e-15,3.126388037344441e-14,6.67910171614494e-15,3.126388037344441e-14,6.679101716144941e-15,3.126388037344441e-14,1.0,True
0.0,lineweaver_burk,50,50,0,0.0,1.2789769243681803e-15,1.7763568394002506e-16,1.27897692436818e-15,1.77635683940025e-16,1.2789769243681803e-15,1.7763568394002506e-16,1.0,True
0.03,nonlinear,50,50,0,0.0,0.01093016314962064,0.037324546779951895,0.016013071941365045,0.036390075243043614,0.05297604162585245,0.0951047273560853,0.9977553597890335,True
0.03,lineweaver_burk,50,50,0,0.0,0.023284606777499092,0.03113215922321384,0.02382261621018914,0.03623751066275615,0.05652917894685089,0.09508308267446353,0.9966233676330377,True
0.1,nonlinear,50,50,0,0.0,0.050003191805665134,0.12666321543227477,0.058357097986789175,0.14614385384622441,0.16875749485551864,0.48023434306077617,0.9746211659048556,False
0.1,lineweaver_burk,50,50,0,0.0,0.0788047854614576,0.0885606847728118,0.10094380191849706,0.15251034717845913,0.44565586328051665,0.8253567958176724,0.9539527152374113,True
0.2,nonlinear,50,50,0,0.0,0.11063917530260127,0.2529575715937115,0.12144000736043972,0.3206294111179611,0.459733912248102,1.367122862202568,0.8989931070494797,False
0.2,lineweaver_burk,50,50,0,0.0,0.1663471997115431,0.23218530611942492,0.20009032458787027,0.3105514788169739,0.7401822908095209,1.3689074391747043,0.8063472495585464,False
0.4,nonlinear,50,50,0,0.0,0.21211756515938268,0.33565917934062217,0.6461086638666574,2.9763495628319396,17.77504502466554,105.3684048049256,0.6814729278850721,False
0.4,lineweaver_burk,50,40,10,0.2,0.3658448772501094,0.47898487192810946,1.2286461688716173,2.2554932432983863,31.49755186820002,63.57659806790527,0.37477951266278137,False
