,Ctrl_Rep1,Ctrl_Rep2,Ctrl_Rep3,Ctrl_Rep4,Ctrl_Rep5,Treat_Rep1,Treat_Rep2,Treat_Rep3,Treat_Rep4,Treat_Rep5
Prot_0001,22.846616785290493,23.154020182981892,23.591688056307763,23.014621875850548,22.773638210189635,24.446448955142106,23.68264140052963,24.392904947342288,24.83512015372713,23.827409236396782
Prot_0002,20.233916419612164,20.359551557419348,20.370902459908727,20.51794194959922,20.500125365801164,21.643937811323667,21.952782490682132,21.008681879689355,21.271473413081956,21.36092473898534
Prot_0003,22.500145558639872,21.882709258110065,22.529490918160835,22.050227737129777,21.88418916716294,22.39171101676043,23.084001635260393,22.77794512470708,23.56988151034012,22.935171647421587
Prot_0004,20.410966553855292,20.82452768890521,20.85583723739311,20.985257733419008,21.059342960469923,21.824033876751976,22.123872567006792,21.720752663466303,21.756435838425297,21.69707191664538
Prot_0005,20.459084869536685,20.67318202114557,20.310027343038637,20.903281425244,20.339239048684746,21.787528876517232,22.116511689459344,21.631635533804438,21.400126101429205,22.1423555092202
Prot_0006,18.789020905997877,18.888740326642353,18.802453079891347,18.656868491920143,18.74288806819062,19.86131534133522,20.107325797577698,19.48417351215545,19.48863829379189,19.05522236104559
Prot_0007,21.575540145509127,21.1940387929459,21.280697241546886,21.01620391725225,21.666416925505864,22.389651332024062,22.50824125732439,21.72164262947116,22.481989649122692,21.915620748287644
Prot_0008,20.509229346064473,20.36828040655129,19.992617442581125,20.293222712137748,20.492322861906413,22.109071566494777,21.181833475612514,21.073184999755348,20.797704673456014,21.414649792157036
Prot_0009,17.013287058495287,16.99318561579842,16.69598268397789,17.435268460776612,16.892497462061637,18.574856215262145,18.0372507705659,18.23836900102433,18.640765441521467,18.28432139410765
Prot_0010,19.1585843272821,18.777705646602413,19.166718366389745,18.96712903095024,19.148656228484402,20.07246984357177,19.864986547396477,20.308437659768135,19.78153887735869,20.0142094198715
