,is_planted,planted_fc
Prot_0001,True,1.0
Prot_0002,True,1.0
Prot_0003,True,1.0
Prot_0004,True,1.0
Prot_0005,True,1.0
Prot_0006,True,1.0
Prot_0007,True,1.0
Prot_0008,True,1.0
Prot_0009,True,1.0
Prot_0010,True,1.0
Prot_0011,True,1.0
Prot_0012,True,1.0
Prot_0013,True,1.0
Prot_0014,True,1.0
Prot_0015,True,1.0
Prot_0016,True,1.0
Prot_0017,True,1.0
Prot_0018,True,1.0
Prot_0019,True,1.0
Prot_0020,True,1.0
Prot_0021,True,1.0
Prot_0022,True,1.0
Prot_0023,True,1.0
Prot_0024,True,1.0
Prot_0025,True,1.0
Prot_0026,True,1.0
Prot_0027,True,1.0
Prot_0028,True,1.0
Prot_0029,True,1.0
Prot_0030,True,1.0
Prot_0031,True,1.0
Prot_0032,True,1.0
Prot_0033,True,1.0
Prot_0034,True,1.0
Prot_0035,True,1.0
Prot_0036,True,1.0
Prot_0037,True,1.0
Prot_0038,True,1.0
Prot_0039,True,1.0
Prot_0040,True,1.0
Prot_0041,True,1.0
Prot_0042,True,1.0
Prot_0043,True,1.0
Prot_0044,True,1.0
Prot_0045,True,1.0
Prot_0046,True,1.0
Prot_0047,True,1.0
Prot_0048,True,1.0
Prot_0049,True,1.0
Prot_0050,True,1.0
Prot_0051,True,-1.0
Prot_0052,True,-1.0
Prot_0053,True,-1.0
Prot_0054,True,-1.0
Prot_0055,True,-1.0
Prot_0056,True,-1.0
Prot_0057,True,-1.0
Prot_0058,True,-1.0
Prot_0059,True,-1.0
Prot_0060,True,-1.0
Prot_0061,True,-1.0
Prot_0062,True,-1.0
Prot_0063,True,-1.0
Prot_0064,True,-1.0
Prot_0065,True,-1.0
Prot_0066,True,-1.0
Prot_0067,True,-1.0
Prot_0068,True,-1.0
Prot_0069,True,-1.0
Prot_0070,True,-1.0
Prot_0071,True,-1.0
Prot_0072,True,-1.0
Prot_0073,True,-1.0
Prot_0074,True,-1.0
Prot_0075,True,-1.0
Prot_0076,True,-1.0
Prot_0077,True,-1.0
Prot_0078,True,-1.0
Prot_0079,True,-1.0
Prot_0080,True,-1.0
Prot_0081,True,-1.0
Prot_0082,True,-1.0
Prot_0083,True,-1.0
Prot_0084,True,-1.0
Prot_0085,True,-1.0
Prot_0086,True,-1.0
Prot_0087,True,-1.0
Prot_0088,True,-1.0
Prot_0089,True,-1.0
Prot_0090,True,-1.0
Prot_0091,True,-1.0
Prot_0092,True,-1.0
Prot_0093,True,-1.0
Prot_0094,True,-1.0
Prot_0095,True,-1.0
Prot_0096,True,-1.0
Prot_0097,True,-1.0
Prot_0098,True,-1.0
Prot_0099,True,-1.0
Prot_0100,True,-1.0
Prot_0101,False,0.0
Prot_0102,False,0.0
Prot_0103,False,0.0
Prot_0104,False,0.0
Prot_0105,False,0.0
Prot_0106,False,0.0
Prot_0107,False,0.0
Prot_0108,False,0.0
Prot_0109,False,0.0
Prot_0110,False,0.0
Prot_0111,False,0.0
Prot_0112,False,0.0
Prot_0113,False,0.0
Prot_0114,False,0.0
Prot_0115,False,0.0
Prot_0116,False,0.0
Prot_0117,False,0.0
Prot_0118,False,0.0
Prot_0119,False,0.0
Prot_0120,False,0.0
Prot_0121,False,0.0
Prot_0122,False,0.0
Prot_0123,False,0.0
Prot_0124,False,0.0
Prot_0125,False,0.0
Prot_0126,False,0.0
Prot_0127,False,0.0
Prot_0128,False,0.0
Prot_0129,False,0.0
Prot_0130,False,0.0
Prot_0131,False,0.0
Prot_0132,False,0.0
Prot_0133,False,0.0
Prot_0134,False,0.0
Prot_0135,False,0.0
Prot_0136,False,0.0
Prot_0137,False,0.0
Prot_0138,False,0.0
Prot_0139,False,0.0
Prot_0140,False,0.0
Prot_0141,False,0.0
Prot_0142,False,0.0
Prot_0143,False,0.0
Prot_0144,False,0.0
Prot_0145,False,0.0
Prot_0146,False,0.0
Prot_0147,False,0.0
Prot_0148,False,0.0
Prot_0149,False,0.0
Prot_0150,False,0.0
Prot_0151,False,0.0
Prot_0152,False,0.0
Prot_0153,False,0.0
Prot_0154,False,0.0
