,log2_fc,t_stat,p_value,q_value,is_planted,planted_fc
Prot_0001,1.1607879165035229,4.516943050556619,0.0026813365264614203,0.08250266235265909,True,1.0
Prot_0002,1.0510725162843677,6.1780762664161335,0.0018532349419320112,0.06837911845333533,True,1.0
Prot_0003,0.7823896590572232,3.2479954566994413,0.013024933593849078,0.23468348817746087,True,1.0
Prot_0004,0.9972469376506403,7.290560919112295,0.00015124491227659647,0.020165988303546198,True,1.0
Prot_0005,1.2786686005561556,7.071211147678588,0.00013677543608218198,0.019539348011740284,True,1.0
Prot_0006,0.8233408866527014,4.474641562199216,0.009068276062479546,0.1778093345584225,True,1.0
Prot_0007,0.856849718693983,4.253487162030224,0.003315670566256222,0.08725448858569006,True,1.0
Prot_0008,0.9841543476469283,4.087549913480951,0.008120822340273313,0.160993764641557,True,1.0
Prot_0009,1.349068308274333,8.187127534018925,3.8381079213707876e-05,0.011794637097706074,True,1.0
Prot_0010,0.9645697496515346,8.120861058506081,4.684071194249951e-05,0.011794637097706074,True,1.0
Prot_0011,0.862314598574077,3.2668782291304805,0.011410018884118755,0.21312272361329776,True,1.0
Prot_0012,1.0486049172821197,8.031534212967765,6.500128809835809e-05,0.011794637097706074,True,1.0
Prot_0013,0.8753230573128938,4.622727155848553,0.002239823156728777,0.07423824301758022,True,1.0
Prot_0014,0.8579915681365762,4.1106332103041545,0.004226879242958078,0.10534412423468172,True,1.0
Prot_0015,1.4000043054510591,9.149937976872314,1.7310544593361237e-05,0.009615625759085198,True,1.0
Prot_0016,0.8334902597119438,5.125604525672692,0.0012664228901068501,0.061776726346675616,True,1.0
Prot_0017,0.9164104182519637,4.826348390498312,0.001771790948114233,0.06837911845333533,True,1.0
Prot_0018,0.9927691560368324,7.990664505052351,7.666514113508948e-05,0.011794637097706074,True,1.0
Prot_0019,1.2733876501760975,8.951943952175801,3.448055144663871e-05,0.011794637097706074,True,1.0
Prot_0020,1.0558002171864693,5.772997362596416,0.0004990972544958157,0.037280753008052774,True,1.0
Prot_0021,1.00750152324839,7.972314316950862,0.00021859835767015038,0.02354204030366667,True,1.0
Prot_0022,0.8452678259514492,4.731620276230086,0.0029521088383804026,0.08436068371265186,True,1.0
Prot_0023,0.8515051482143967,4.250494255913682,0.002838966768989154,0.08418922107716238,True,1.0
Prot_0024,1.149183361384587,6.661582591798964,0.00016752644913238372,0.02075902733326754,True,1.0
Prot_0025,0.7943918546699003,3.2624840517429585,0.015186357477033044,0.2657617315333641,True,1.0
Prot_0026,1.0728273568395288,5.648351127380076,0.00048590705442171913,0.037280753008052774,True,1.0
Prot_0027,0.8597529160584898,5.878865955326953,0.00045852337816169826,0.037280753008052774,True,1.0
Prot_0028,0.7698186915627261,3.967528994517257,0.009179999389341732,0.17825241532702393,True,1.0
Prot_0029,1.0743275091173352,6.004418891254946,0.000619087351345498,0.03869295945909362,True,1.0
Prot_0030,0.7882437310724058,4.658123703790322,0.0032440674287844864,0.08725448858569006,True,1.0
Prot_0031,0.9828113629255633,9.330441512101018,4.780644197408136e-05,0.011794637097706074,True,1.0
Prot_0032,1.0604657603657337,6.468985810196423,0.000862099811544376,0.046599989813209515,True,1.0
Prot_0033,1.1238806085156945,5.514791104731616,0.0008272449075282328,0.045958050418235155,True,1.0
Prot_0034,1.2220670984559732,7.294430217250286,0.0005237372274474215,0.037280753008052774,True,1.0
Prot_0035,1.135034380138201,5.317611585883714,0.0016326176073202744,0.06802573363834477,True,1.0
Prot_0036,1.2880211704595048,6.59595209326723,0.00048173763429939695,0.037280753008052774,True,1.0
Prot_0037,0.7604213727457854,2.9409700230384943,0.018952224261341223,0.30323558818145957,True,1.0
Prot_0038,1.0158013775902077,4.582062049321602,0.005328857456384307,0.12388470131734097,True,1.0
Prot_0039,0.8661178376599956,4.109164710855095,0.011508627075118079,0.21312272361329776,True,1.0
Prot_0040,0.88393398548871,3.543608365352843,0.007680405584791849,0.15835887803694534,True,1.0
Prot_0041,0.6398078623677783,3.5928194912475604,0.008052358304097234,0.160993764641557,True,1.0
Prot_0042,0.5162298959828355,2.2168780582556504,0.06310734877006006,0.5897883062622437,True,1.0
Prot_0043,0.8873436828356205,4.617757592492567,0.0017299102946991287,0.06837911845333533,True,1.0
Prot_0044,0.5994956516145642,2.2309740422146613,0.05636573787395647,0.5590403793778891,True,1.0
Prot_0045,0.595967551076722,2.7334579566944566,0.03497091411114821,0.441872770536359,True,1.0
Prot_0046,0.9759040251722695,11.818254515057392,7.267389633456008e-05,0.011794637097706074,True,1.0
Prot_0047,1.0025064140302469,5.792233736373012,0.0006541498311772562,0.0396454443137731,True,1.0
Prot_0048,0.9374245720534056,3.1126312996118695,0.020036178966127347,0.31803458676392615,True,1.0
Prot_0049,1.1716901582632175,4.555731889309726,0.0025455704228242657,0.0795490757132583,True,1.0
